,ee_pos_x,ee_pos_y,ee_pos_z,ee_quat_a,ee_quat_b,ee_quat_c,ee_quat_d,ee_wrench_desired_x,ee_wrench_desired_y,ee_wrench_desired_z,ee_wrench_desired_torque_x,ee_wrench_desired_torque_y,ee_wrench_desired_torque_z
0.5111588692345842,0.5489364862442017,0.043403901159763336,0.31881868839263916,0.9275124669075012,-0.37242764234542847,0.0022633748594671488,0.03183000534772873,6.157764434814453,-3.250152587890625,-11.76216983795166,0.08044411987066269,0.33686283230781555,-0.7942324876785278
0.5113241858158373,0.548927366733551,0.04335547983646393,0.31878915429115295,0.9274572730064392,-0.37256285548210144,0.00224397424608469,0.03185702860355377,6.158126354217529,-3.2505762577056885,-11.76225757598877,0.08047357201576233,0.3369836211204529,-0.7942235469818115
0.5114895023970903,0.5489192605018616,0.043298449367284775,0.31875941157341003,0.9273978471755981,-0.37270820140838623,0.002225502859801054,0.031888507306575775,6.136702060699463,-3.2279398441314697,-11.766636848449707,0.05780264735221863,0.3364551365375519,-0.7833816409111023
0.5116548189783435,0.5489107370376587,0.04324570670723915,0.3187297582626343,0.9273409247398376,-0.37284743785858154,0.0022070910781621933,0.0319172702729702,6.118295192718506,-3.23966908454895,-11.782994270324707,0.04401768371462822,0.3374179005622864,-0.7693818807601929
0.5118201355595966,0.5489025712013245,0.04319048300385475,0.3187001347541809,0.9272801876068115,-0.372996062040329,0.002187639009207487,0.031946320086717606,6.127265453338623,-3.25154447555542,-11.78454875946045,0.034588299691677094,0.33908894658088684,-0.7568104267120361
0.5119854521408497,0.5488936305046082,0.043134093284606934,0.31867149472236633,0.9272193908691406,-0.37314489483833313,0.0021692535374313593,0.03197401389479637,6.119146347045898,-3.2910690307617188,-11.790751457214355,0.027940012514591217,0.3393575847148895,-0.7521697282791138
0.5121507687221027,0.5488842129707336,0.043079931288957596,0.3186418116092682,0.9271596074104309,-0.37329110503196716,0.0021500568836927414,0.03200376778841019,6.055013656616211,-3.4564521312713623,-11.867940902709961,-0.0029304667841643095,0.33757323026657104,-0.7728416919708252
0.5123160853033559,0.5488768219947815,0.043026093393564224,0.3186144530773163,0.9270978569984436,-0.37344226241111755,0.002133904956281185,0.03203007951378822,6.033284664154053,-3.5469627380371094,-11.8904390335083,-0.03296046704053879,0.3355240821838379,-0.7815922498703003
0.512481401884609,0.5488678812980652,0.042971979826688766,0.31858357787132263,0.9270354509353638,-0.3735945522785187,0.0021144445054233074,0.03206067904829979,5.976705074310303,-3.6036570072174072,-11.898599624633789,-0.060011494904756546,0.3323526382446289,-0.787243127822876
0.5126467184658621,0.5488591194152832,0.04291614890098572,0.3185540437698364,0.926973283290863,-0.37374645471572876,0.0020949693862348795,0.03208930790424347,5.963962554931641,-3.604440450668335,-11.906890869140625,-0.07092668861150742,0.33207637071609497,-0.7910214066505432
0.5128120350471151,0.5488484501838684,0.04286525771021843,0.31852251291275024,0.9269102215766907,-0.3739003837108612,0.0020738672465085983,0.03211885318160057,5.932867050170898,-3.6202449798583984,-11.923805236816406,-0.08374372124671936,0.33201244473457336,-0.7866738438606262
0.5129773516283683,0.5488399863243103,0.042810432612895966,0.318493127822876,0.9268452525138855,-0.3740590214729309,0.002055763965472579,0.03214782476425171,5.889249324798584,-3.578920841217041,-11.918801307678223,-0.09860452264547348,0.32983142137527466,-0.7796165943145752
0.5131426682096214,0.5488319396972656,0.04276000335812569,0.3184661567211151,0.9267838001251221,-0.37420904636383057,0.002038810634985566,0.032174307852983475,5.8530073165893555,-3.5582714080810547,-11.889272689819336,-0.10824290663003922,0.32657870650291443,-0.7688273787498474
